filename,split,non_ideality,param_name,param_value,message_id
Train/saleh_mild_msg2,Train,nonlinear_saleh,severity,mild,2
Train/saleh_moderate_msg2,Train,nonlinear_saleh,severity,moderate,2
Train/saleh_severe_msg2,Train,nonlinear_saleh,severity,severe,2
Train/combined_msg2,Train,combined,phase+freq+iq,60deg+1000hz+0.85iq,2
Train/snr_100pct_msg3,Train,snr,amplitude_scale,1.0,3
Train/snr_075pct_msg3,Train,snr,amplitude_scale,0.75,3
Train/snr_050pct_msg3,Train,snr,amplitude_scale,0.5,3
Train/snr_025pct_msg3,Train,snr,amplitude_scale,0.25,3
Train/phase_000deg_msg3,Train,phase_offset,degrees,0,3
Train/phase_030deg_msg3,Train,phase_offset,degrees,30,3
Train/phase_060deg_msg3,Train,phase_offset,degrees,60,3
Train/phase_090deg_msg3,Train,phase_offset,degrees,90,3
Train/phase_120deg_msg3,Train,phase_offset,degrees,120,3
Train/phase_150deg_msg3,Train,phase_offset,degrees,150,3
Train/freq_00000hz_msg3,Train,freq_offset,hz,0,3
Train/freq_00500hz_msg3,Train,freq_offset,hz,500,3
Train/freq_01000hz_msg3,Train,freq_offset,hz,1000,3
Train/freq_02000hz_msg3,Train,freq_offset,hz,2000,3
Train/freq_05000hz_msg3,Train,freq_offset,hz,5000,3
Train/iq_100_msg3,Train,iq_imbalance,q_scale,1.0,3
Train/iq_085_msg3,Train,iq_imbalance,q_scale,0.85,3
Train/iq_070_msg3,Train,iq_imbalance,q_scale,0.7,3
Train/saleh_mild_msg3,Train,nonlinear_saleh,severity,mild,3
Train/saleh_moderate_msg3,Train,nonlinear_saleh,severity,moderate,3
Train/saleh_severe_msg3,Train,nonlinear_saleh,severity,severe,3
Train/combined_msg3,Train,combined,phase+freq+iq,60deg+1000hz+0.85iq,3
Train/snr_100pct_msg4,Train,snr,amplitude_scale,1.0,4
Train/snr_075pct_msg4,Train,snr,amplitude_scale,0.75,4
Train/snr_050pct_msg4,Train,snr,amplitude_scale,0.5,4
Train/snr_025pct_msg4,Train,snr,amplitude_scale,0.25,4
Train/phase_000deg_msg4,Train,phase_offset,degrees,0,4
Train/phase_030deg_msg4,Train,phase_offset,degrees,30,4
Train/phase_060deg_msg4,Train,phase_offset,degrees,60,4
Train/phase_090deg_msg4,Train,phase_offset,degrees,90,4
Train/phase_120deg_msg4,Train,phase_offset,degrees,120,4
Train/phase_150deg_msg4,Train,phase_offset,degrees,150,4
Train/freq_00000hz_msg4,Train,freq_offset,hz,0,4
Train/freq_00500hz_msg4,Train,freq_offset,hz,500,4
Train/freq_01000hz_msg4,Train,freq_offset,hz,1000,4
Train/freq_02000hz_msg4,Train,freq_offset,hz,2000,4
Train/freq_05000hz_msg4,Train,freq_offset,hz,5000,4
Train/iq_100_msg4,Train,iq_imbalance,q_scale,1.0,4
Train/iq_085_msg4,Train,iq_imbalance,q_scale,0.85,4
Train/iq_070_msg4,Train,iq_imbalance,q_scale,0.7,4
Train/saleh_mild_msg4,Train,nonlinear_saleh,severity,mild,4
Train/saleh_moderate_msg4,Train,nonlinear_saleh,severity,moderate,4
Train/saleh_severe_msg4,Train,nonlinear_saleh,severity,severe,4
Train/combined_msg4,Train,combined,phase+freq+iq,60deg+1000hz+0.85iq,4
Train/snr_100pct_msg5,Train,snr,amplitude_scale,1.0,5
Train/snr_075pct_msg5,Train,snr,amplitude_scale,0.75,5
Train/snr_050pct_msg5,Train,snr,amplitude_scale,0.5,5
Train/snr_025pct_msg5,Train,snr,amplitude_scale,0.25,5
Train/phase_000deg_msg5,Train,phase_offset,degrees,0,5
Train/phase_030deg_msg5,Train,phase_offset,degrees,30,5
Train/phase_060deg_msg5,Train,phase_offset,degrees,60,5
Train/phase_090deg_msg5,Train,phase_offset,degrees,90,5
Train/phase_120deg_msg5,Train,phase_offset,degrees,120,5
Train/phase_150deg_msg5,Train,phase_offset,degrees,150,5
Train/freq_00000hz_msg5,Train,freq_offset,hz,0,5
Train/freq_00500hz_msg5,Train,freq_offset,hz,500,5
Train/freq_01000hz_msg5,Train,freq_offset,hz,1000,5
Train/freq_02000hz_msg5,Train,freq_offset,hz,2000,5
Train/freq_05000hz_msg5,Train,freq_offset,hz,5000,5
Train/iq_100_msg5,Train,iq_imbalance,q_scale,1.0,5
Train/iq_085_msg5,Train,iq_imbalance,q_scale,0.85,5
Train/iq_070_msg5,Train,iq_imbalance,q_scale,0.7,5
Train/saleh_mild_msg5,Train,nonlinear_saleh,severity,mild,5
Train/saleh_moderate_msg5,Train,nonlinear_saleh,severity,moderate,5
Train/saleh_severe_msg5,Train,nonlinear_saleh,severity,severe,5
Train/combined_msg5,Train,combined,phase+freq+iq,60deg+1000hz+0.85iq,5
